,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
,111,Maldives,"81,301",,226 ,,"79,268",,"1,807",18,"147,383",410,"1,351,647","2,450,274","551,631 ",Asia,"72,4410",,,"3,276",
,112,Luxembourg,"75,904",,830 ,,"74,021",,"1,053",7,"119,001","1,301","3,423,446","5,367,240","637,841 ",Europe,87680,,,"1,651",
,113,Senegal,"72,920",,"1,774 ",,"62,414",,"8,732",35,"4,226",103,"743,080","43,060","17,256,873 ",Africa,"2379,72823",,,506,
,114,Jamaica,"68,482",,"1,549 ",,"48,402",,"18,531",40,"23,009",520,"549,295","184,559","2,976,254 ",North America,"431,9215",,,"6,226",
,115,Singapore,"67,800",,55 ,,"66,222",,"1,523",5,"11,484",9,"17,773,017","3,010,325","5,904,020 ",Asia,"87107,3460",,,258,
,116,Malawi,"60,583",,"2,185 ",,"48,186",,"10,212",285,"3,075",111,"387,730","19,677","19,704,669 ",Africa,"3259,01851",,,518,
,117,Australia,"56,559","+1,466","1,019 ",+7,"33,571",,"21,969",125,"2,188",39,"31,997,196","1,238,050","25,844,833 ",Australia/Oceania,"45725,3631",57,0.3,850,
,118,Ivory Coast,"56,148",,445 ,,"54,002",,"1,701",,"2,069",16,"888,751","32,749","27,137,874 ",Africa,"48360,98431",,,63,
,119,DRC,"55,146",,"1,059 ",,"30,858",,"23,229",,595,11,"306,299","3,303","92,724,124 ",Africa,"1,68187,558303",,,251,
,120,Réunion,"50,346",,342 ,,"47,752",,"2,252",33,"55,769",379,"173,764","192,479","902,767 ",Africa,"182,6405",,,"2,495",
,121,Guadeloupe,"49,381",,539 ,,"2,250",,"46,592",23,"123,390","1,347","398,899","996,739","400,204 ",North America,87421,,,"116,421",
,122,Angola,"47,781",,"1,227 ",,"43,569",,"2,985",8,"1,403",36,"830,836","24,398","34,053,628 ",Africa,"71327,75441",,,88,
,123,Fiji,"47,006",,504 ,,"29,067",,"17,435",39,"51,996",558,"376,247","416,191","904,024 ",Australia/Oceania,"191,7942",,,"19,286",
,124,Trinidad and Tobago,"44,957",,"1,302 ",,"39,432",,"4,223",22,"32,003",927,"312,652","222,563","1,404,779 ",North America,"311,0794",,,"3,006",
,125,Eswatini,"43,626",,"1,112 ",,"35,541",,"6,973",10,"37,155",947,"318,610","271,349","1,174,172 ",Africa,"271,0564",,,"5,939",
,126,Madagascar,"42,873",,956 ,,"41,298",,619,8,"1,503",34,"243,994","8,556","28,518,692 ",Africa,"66529,831117",,,22,
,127,French Polynesia,"40,178",,446 ,,"33,500",,"6,232",61,"142,071","1,577","26,355","93,192","282,803 ",Australia/Oceania,763411,,,"22,037",
,128,Sudan,"37,715",,"2,837 ",,"31,675",,"3,203",,837,63,"238,579","5,297","45,040,177 ",Africa,"1,19415,876189",,,71,
,129,Martinique,"37,192",,442 ,,104,,"36,646",1,"99,199","1,179","335,215","894,085","374,925 ",North America,108481,,,"97,742",
,130,Malta,"36,247",,441 ,,"34,727",,"1,079",1,"81,837",996,"1,194,358","2,696,579","442,916 ",Europe,"121,0040",,,"2,436",
,131,Cabo Verde,"35,506",,314 ,,"34,344",,848,23,"63,063",558,"208,220","369,822","563,028 ",Africa,"161,7933",,,"1,506",
,132,French Guiana,"35,309",,220 ,,"9,995",,"25,094",26,"114,758",715,"365,200","1,186,936","307,683 ",South America,"91,3991",,,"81,558",
,133,Mauritania,"33,725",,717 ,,"30,765",,"2,243",16,"7,038",150,"446,383","93,157","4,791,739 ",Africa,"1426,68311",,,468,
,134,Suriname,"29,599",,725 ,,"24,447",,"4,427",15,"49,934","1,223","104,725","176,673","592,763 ",South America,208186,,,"7,468",
,135,Guinea,"29,541",,338  ,,"27,357",,"1,846",24,"2,181",25,"536,982","39,639","13,546,842 ",Africa,"45940,07925",,,136,
,136,Syria,"28,045",,"2,018 ",,"22,491",,"3,536",,"1,558",112,"103,566","5,755","17,995,086 ",Asia,"6428,917174",,,196,
,137,Gabon,"25,888",,166 ,,"25,625",,97,11,"11,321",73,"1,085,170","474,532","2,286,821 ",Africa,"8813,7762",,,42,
,138,Guyana,"25,770",,624 ,,"23,196",,"1,950",34,"32,580",789,"269,961","341,299","790,982 ",South America,"311,2683",,,"2,465",
,139,Togo,"21,561",,185 ,,"16,926",,"4,450",,"2,535",22,"464,241","54,588","8,504,420 ",Africa,"39445,97018",,,523,
,140,Haiti,"20,916",,586 ,,"18,040",,"2,290",,"1,809",51,"107,702","9,313","11,564,573 ",North America,"55319,735107",,,198,
,141,Seychelles,"19,976",,104 ,,"19,362",,510,,"201,660","1,050","21,504","217,085","99,058 ",Africa,59525,,,"5,148",
,142,Mayotte,"19,827",,175 ,,"2,964",,"16,688",1,"70,692",624,"176,919","630,792","280,471 ",Africa,"141,6032",,,"59,500",
,143,Bahamas,"18,139",,381 ,,"14,665",,"3,093",15,"45,618",958,"133,155","334,875","397,626 ",North America,"221,0443",,,"7,779",
,144,Papua New Guinea,"17,926",,192 ,,"17,547",,187,7,"1,960",21,"150,870","16,499","9,144,343 ",Australia/Oceania,"51047,62761",,,20,
,145,Somalia,"17,466",,977 ,,"8,531",,"7,958",,"1,064",60,"200,481","12,218","16,408,526 ",Africa,"93916,79582",,,485,
,146,Timor-Leste,"16,941",,72 ,,"12,363",,"4,506",,"12,570",53,"169,501","125,772","1,347,681 ",Asia,"8018,7188",,,"3,344",
,147,Tajikistan,"16,852",,124 ,,"16,698",,30,,"1,722",13,,,"9,786,878 ",Asia,"58178,926",,,3,
,148,Belize,"16,493",,362 ,,"14,978",,"1,153",3,"40,620",892,"223,277","549,899","406,033 ",North America,"251,1222",,,"2,840",
,149,Taiwan,"16,006",+5,837 ,+1,"14,960",,209,,671,35,"5,003,243","209,629","23,867,112 ",Asia,"1,49128,5155",0.2,0.04,9,
,150,Benin,"15,932",,131 ,,"11,098",,"4,703",5,"1,275",10,"604,310","48,374","12,492,355 ",Africa,"78495,36121",,,376,
,151,Curaçao,"15,338",,145 ,,"14,805",,388,4,"93,027",879,"239,935","1,455,245","164,876 ",North America,"111,1371",,,"2,353",
